,Name,income,income_per_capita,employment_labor_force,employment_civilian_labor_force,employment_employed,employment_unemployed,employment_male_business_and_financial_operations_occupations,employment_male_computer_engineering_and_science_occupations,employment_male_computer_and_mathematical_occupations,employment_female_business_and_financial_operations_occupations,employment_female_computer_engineering_and_science_occupations,employment_female_computer_and_mathematical_occupations,poverty,age,population,median_gross_rent,median_home_value,education_none,education_high_school,education_ged,education_associates,education_bachelors,education_masters,education_professional,education_doctorate,state,Year
54,Arizona,49774.0,25358.0,3056508.0,3038226.0,2721866.0,316360.0,59232.0,115233.0,55128.0,70539.0,35290.0,19227.0,1131901.0,36.3,6479703.0,896.0,165100.0,52419.0,863210.0,168804.0,350503.0,716734.0,296979.0,69819.0,48203.0,04,2013
55,Arkansas,40768.0,22170.0,1372975.0,1366667.0,1245432.0,121235.0,19404.0,29043.0,13753.0,23918.0,10423.0,5709.0,547328.0,37.5,2933369.0,661.0,107300.0,22954.0,561542.0,117797.0,119038.0,257157.0,93456.0,23201.0,15503.0,05,2013
56,California,61094.0,29527.0,18946244.0,18804519.0,16635854.0,2168665.0,364749.0,755218.0,363692.0,459738.0,266310.0,121445.0,5885417.0,35.4,37659181.0,1224.0,366400.0,598141.0,4525094.0,540940.0,1895918.0,4753446.0,1821325.0,565907.0,360357.0,06,2013
57,Colorado,58433.0,31109.0,2774490.0,2741518.0,2509777.0,231741.0,61265.0,137183.0,70329.0,76662.0,46524.0,23738.0,660874.0,36.1,5119329.0,939.0,236200.0,29018.0,621098.0,129139.0,276955.0,799431.0,330767.0,72800.0,51826.0,08,2013
58,Delaware,59878.0,29819.0,466696.0,463216.0,422009.0,41207.0,9220.0,17459.0,8145.0,12453.0,6537.0,3049.0,103633.0,38.9,908446.0,999.0,235800.0,6361.0,172876.0,21001.0,44444.0,105108.0,50483.0,11201.0,9745.0,10,2013
59,District of Columbia,65830.0,45290.0,357458.0,354171.0,315177.0,38994.0,14257.0,18243.0,9398.0,17266.0,12466.0,6258.0,109200.0,33.8,619371.0,1242.0,445200.0,4818.0,69105.0,11858.0,12958.0,97641.0,74657.0,36137.0,16848.0,11,2013
60,Connecticut,69461.0,37892.0,1958723.0,1950121.0,1759412.0,190709.0,49982.0,76467.0,35993.0,50289.0,27494.0,13163.0,354348.0,40.2,3583561.0,1056.0,278900.0,23600.0,600317.0,78053.0,178597.0,498124.0,283662.0,70744.0,38390.0,09,2013
61,Florida,46956.0,26236.0,9355809.0,9298664.0,8202636.0,1096028.0,165021.0,242410.0,123678.0,200695.0,79341.0,42359.0,3052807.0,41.0,19091156.0,990.0,160200.0,183723.0,3400290.0,563937.0,1188081.0,2253937.0,854996.0,265198.0,141781.0,12,2013
62,Georgia,49179.0,25182.0,4852644.0,4799681.0,4254879.0,544802.0,88872.0,153709.0,81703.0,116793.0,53728.0,30345.0,1736680.0,35.6,9810417.0,860.0,151300.0,81690.0,1511144.0,306208.0,438989.0,1121880.0,453219.0,121272.0,71463.0,13,2013
63,Idaho,46767.0,22568.0,766649.0,763379.0,696190.0,67189.0,12031.0,27985.0,10479.0,14092.0,7836.0,3229.0,240298.0,34.9,1583364.0,728.0,162100.0,10194.0,228031.0,50615.0,87761.0,172377.0,54722.0,13830.0,9964.0,16,2013
64,Hawaii,67402.0,29305.0,728795.0,688820.0,640072.0,48748.0,11456.0,19372.0,8006.0,15058.0,6612.0,2555.0,149531.0,38.3,1376298.0,1380.0,503100.0,10126.0,240803.0,22861.0,92512.0,186379.0,63311.0,20481.0,12321.0,15,2013
65,Illinois,56797.0,29666.0,6718236.0,6698936.0,5998320.0,700616.0,149031.0,224760.0,118389.0,167714.0,76640.0,43137.0,1772333.0,36.8,12848554.0,890.0,182300.0,95087.0,2006238.0,302748.0,632569.0,1657947.0,739404.0,180829.0,97616.0,17,2013
66,Indiana,48248.0,24635.0,3283407.0,3279355.0,2963879.0,315476.0,48038.0,93627.0,36000.0,65443.0,29193.0,13577.0,969881.0,37.1,6514861.0,730.0,122800.0,37569.0,1286939.0,213763.0,334834.0,632094.0,258886.0,55880.0,40860.0,18,2013
67,Iowa,51843.0,27027.0,1650140.0,1647943.0,1553030.0,94913.0,27726.0,50952.0,23011.0,39773.0,17070.0,9014.0,367414.0,38.1,3062553.0,670.0,124300.0,13765.0,584805.0,81566.0,215049.0,359520.0,112200.0,29132.0,20867.0,19,2013
68,Kansas,51332.0,26929.0,1509187.0,1491412.0,1387071.0,104341.0,28604.0,49199.0,22514.0,33922.0,16837.0,8999.0,382820.0,36.0,2868107.0,732.0,128400.0,13924.0,429339.0,79313.0,140680.0,363386.0,143301.0,32858.0,20270.0,20,2013
69,Kentucky,43036.0,23462.0,2076555.0,2059754.0,1857767.0,201987.0,30334.0,50504.0,22218.0,38098.0,16051.0,8563.0,796202.0,38.2,4361333.0,655.0,120400.0,32009.0,786950.0,202117.0,206790.0,372738.0,183161.0,47346.0,25428.0,21,2013
70,Louisiana,44874.0,24442.0,2203325.0,2187544.0,1995378.0,192166.0,30727.0,55386.0,15208.0,40612.0,16214.0,6309.0,846780.0,36.0,4567968.0,773.0,138900.0,38757.0,859082.0,155487.0,154171.0,433526.0,144867.0,45547.0,26235.0,22,2013
71,Maine,48453.0,26824.0,703066.0,700965.0,647099.0,53866.0,11038.0,20273.0,7364.0,14942.0,7311.0,2937.0,175624.0,43.2,1328320.0,764.0,174500.0,5597.0,270456.0,49276.0,86337.0,169061.0,66849.0,16746.0,10964.0,23,2013
72,Maryland,73538.0,36354.0,3214633.0,3186765.0,2926198.0,260567.0,75779.0,175329.0,95878.0,107117.0,81325.0,46356.0,558329.0,38.0,5834299.0,1196.0,292700.0,39708.0,899158.0,117185.0,245871.0,789022.0,445990.0,114423.0,94483.0,24,2013
73,Massachusetts,66866.0,35763.0,3636347.0,3631277.0,3308547.0,322730.0,92512.0,179148.0,86872.0,103133.0,73441.0,32609.0,725351.0,39.2,6605058.0,1069.0,330100.0,60405.0,1032315.0,131423.0,348097.0,1006270.0,538224.0,124858.0,106970.0,25,2013
74,Michigan,48411.0,25681.0,4864014.0,4859417.0,4242948.0,616469.0,79745.0,179555.0,66003.0,102497.0,53347.0,24703.0,1625982.0,39.1,9886095.0,768.0,121700.0,69695.0,1745288.0,260945.0,564950.0,1049930.0,486283.0,106937.0,67068.0,26,2013
75,Minnesota,59836.0,30913.0,2961476.0,2958989.0,2748174.0,210815.0,67356.0,122548.0,62570.0,85343.0,42964.0,23348.0,598391.0,37.6,5347740.0,819.0,187900.0,34123.0,845745.0,111040.0,365212.0,781186.0,263953.0,73760.0,42511.0,27,2013
76,Mississippi,39031.0,20618.0,1355687.0,1343584.0,1194436.0,149148.0,15203.0,25433.0,7612.0,22497.0,8065.0,4104.0,653321.0,36.2,2976872.0,702.0,99900.0,26615.0,471019.0,113819.0,155909.0,246100.0,98828.0,24512.0,16545.0,28,2013
77,Missouri,47380.0,25649.0,3059214.0,3038261.0,2770617.0,267644.0,52219.0,90149.0,46516.0,71184.0,34186.0,19398.0,900929.0,38.0,6007182.0,727.0,137000.0,30537.0,1078278.0,185861.0,282763.0,655633.0,282661.0,66028.0,42737.0,29,2013
78,Montana,46230.0,25373.0,518296.0,514717.0,477015.0,37702.0,7129.0,14682.0,4879.0,10722.0,6010.0,2242.0,148528.0,39.9,998554.0,682.0,184200.0,2733.0,171677.0,32088.0,55480.0,133788.0,40631.0,12099.0,7908.0,30,2013
79,Nebraska,51672.0,26899.0,1011281.0,1006226.0,948701.0,57525.0,17839.0,30704.0,16180.0,23484.0,10147.0,5520.0,228789.0,36.3,1841625.0,706.0,128000.0,10656.0,295690.0,40703.0,114161.0,230833.0,76357.0,20266.0,13843.0,31,2013
80,Nevada,52800.0,26589.0,1414220.0,1404746.0,1229604.0,175142.0,20568.0,29926.0,13796.0,25211.0,10181.0,4714.0,403314.0,36.6,2730066.0,986.0,169100.0,24187.0,452747.0,69401.0,136479.0,268804.0,94708.0,28645.0,13976.0,32,2013
81,New Hampshire,64916.0,33134.0,743855.0,742439.0,690769.0,51670.0,15034.0,36897.0,17298.0,17830.0,10680.0,5743.0,110859.0,41.5,1319171.0,987.0,239900.0,5512.0,231678.0,36235.0,87979.0,194439.0,84598.0,15880.0,12654.0,33,2013
82,New Jersey,71629.0,36027.0,4677666.0,4669577.0,4197483.0,472094.0,124309.0,193697.0,113466.0,122507.0,69803.0,38165.0,900583.0,39.1,8832406.0,1172.0,327100.0,72712.0,1591198.0,152430.0,375299.0,1336219.0,585221.0,144506.0,85702.0,34,2013
83,New Mexico,44927.0,23763.0,979565.0,970934.0,876823.0,94111.0,13025.0,37942.0,12684.0,19813.0,11804.0,4791.0,413801.0,36.7,2069706.0,758.0,160000.0,19031.0,296776.0,59282.0,101660.0,198521.0,103824.0,21783.0,23542.0,35,2013
